Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/test/java/org/openrewrite/cobol/search/FindIndicatorsTest.java,org.openrewrite.cobol.search.FindIndicatorsTest,sm206a,"org.openrewrite.cobol.search.FindIndicatorsTest{name=sm206a,return=void,parameters=[]}",1,0,0,731,0,18.03,1,18,0,385.36,10.68,0.09
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,defaults,"org.openrewrite.cobol.search.FindRelationshipsTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,5,1,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,IC201A,"org.openrewrite.cobol.search.FindRelationshipsTest{name=IC201A,return=void,parameters=[]}",1,0,0,47,0,24.0,0,24,0,589.54,10.71,0.11
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,includeCopybookWithCopyAndInclude,"org.openrewrite.cobol.search.FindRelationshipsTest{name=includeCopybookWithCopyAndInclude,return=void,parameters=[]}",1,0,0,37,0,23.0,0,23,0,503.61,10.48,0.1
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,execSqlCreateTable,"org.openrewrite.cobol.search.FindRelationshipsTest{name=execSqlCreateTable,return=void,parameters=[]}",1,0,0,46,0,26.0,0,26,0,576.64,10.43,0.11
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,execSqlReadTable,"org.openrewrite.cobol.search.FindRelationshipsTest{name=execSqlReadTable,return=void,parameters=[]}",1,0,0,67,0,29.0,0,29,0,681.37,11.18,0.13
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,execSqlUpdateTable,"org.openrewrite.cobol.search.FindRelationshipsTest{name=execSqlUpdateTable,return=void,parameters=[]}",1,0,0,60,0,26.0,0,26,0,582.14,10.57,0.11
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,execSqlDeleteTable,"org.openrewrite.cobol.search.FindRelationshipsTest{name=execSqlDeleteTable,return=void,parameters=[]}",1,0,0,51,0,26.0,0,26,0,573.24,10.74,0.11
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,aCopyInACopy,"org.openrewrite.cobol.search.FindRelationshipsTest{name=aCopyInACopy,return=void,parameters=[]}",1,0,0,24,0,20.0,0,20,0,421.97,9.16,0.08
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,execSqlCreateCursor,"org.openrewrite.cobol.search.FindRelationshipsTest{name=execSqlCreateCursor,return=void,parameters=[]}",1,0,0,65,0,26.0,0,26,0,585.5,10.28,0.11
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,execSqlReadCursor,"org.openrewrite.cobol.search.FindRelationshipsTest{name=execSqlReadCursor,return=void,parameters=[]}",1,0,0,71,0,26.0,0,26,0,573.24,10.74,0.11
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,SM206A,"org.openrewrite.cobol.search.FindRelationshipsTest{name=SM206A,return=void,parameters=[]}",1,0,0,18,0,24.0,0,24,0,527.54,13.13,0.12
src/test/java/org/openrewrite/cobol/search/FindRelationshipsTest.java,org.openrewrite.cobol.search.FindRelationshipsTest,controlMScheduleToJcl,"org.openrewrite.cobol.search.FindRelationshipsTest{name=controlMScheduleToJcl,return=void,parameters=[]}",1,0,0,86,0,20.0,0,20,0,431.08,9.5,0.09
src/test/java/org/openrewrite/cobol/search/FindWordTest.java,org.openrewrite.cobol.search.FindWordTest,defaults,"org.openrewrite.cobol.search.FindWordTest{name=defaults,return=void,parameters=[org.openrewrite.test.RecipeSpec]}",1,0,0,4,1,2.0,0,2,0,19.65,1.0,0.0
src/test/java/org/openrewrite/cobol/search/FindWordTest.java,org.openrewrite.cobol.search.FindWordTest$1,visitMarker,"org.openrewrite.cobol.search.FindWordTest$1{name=visitMarker,return=Generic{M extends org.openrewrite.marker.Marker},parameters=[org.openrewrite.marker.Marker,java.util.List<org.openrewrite.marker.SearchResult>]}",2,1,1,7,2,2.0,0,2,0,48.43,3.75,0.01
src/test/java/org/openrewrite/cobol/search/FindWordTest.java,org.openrewrite.cobol.search.FindWordTest,cm102mExactMatch,"org.openrewrite.cobol.search.FindWordTest{name=cm102mExactMatch,return=void,parameters=[]}",1,0,0,49,0,12.04,1,12,0,278.14,8.54,0.06
src/test/java/org/openrewrite/cobol/search/FindWordTest.java,org.openrewrite.cobol.search.FindWordTest,wordIsNotUsed,"org.openrewrite.cobol.search.FindWordTest{name=wordIsNotUsed,return=void,parameters=[]}",1,0,0,7,0,3.0,0,3,0,19.65,1.5,0.0
src/test/java/org/openrewrite/cobol/search/FindWordTest.java,org.openrewrite.cobol.search.FindWordTest,sm101A,"org.openrewrite.cobol.search.FindWordTest{name=sm101A,return=void,parameters=[]}",1,0,0,18,0,15.03,1,15,0,334.32,9.64,0.07
src/test/java/org/openrewrite/cobol/search/FindWordTest.java,org.openrewrite.cobol.search.FindWordTest,cm102mPartialMatch,"org.openrewrite.cobol.search.FindWordTest{name=cm102mPartialMatch,return=void,parameters=[]}",1,0,0,676,0,12.04,1,12,0,266.72,7.2,0.05
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,invalidGrammar,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=invalidGrammar,return=void,parameters=[]}",1,0,0,11,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,shortColumnLength,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=shortColumnLength,return=void,parameters=[]}",1,0,0,17,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,emptyIndicatorArea,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=emptyIndicatorArea,return=void,parameters=[]}",1,0,0,17,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,startTriggerInComment,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=startTriggerInComment,return=void,parameters=[]}",1,0,0,20,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,afterCommentEntry,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=afterCommentEntry,return=void,parameters=[java.lang.String]}",1,0,0,48,1,4.0,0,4,0,38.05,2.0,0.01
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,cblRent,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=cblRent,return=void,parameters=[]}",1,0,0,19,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,specialRegister,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=specialRegister,return=void,parameters=[]}",1,0,0,16,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,helloWorld,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=helloWorld,return=void,parameters=[]}",1,0,0,15,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,customWhitespace,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=customWhitespace,return=void,parameters=[]}",1,0,0,24,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,commaDelimiters,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=commaDelimiters,return=void,parameters=[java.lang.String]}",2,3,1,87,1,15.03,1,15,0,336.94,12.31,0.09
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,continuedLiterals,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=continuedLiterals,return=void,parameters=[java.lang.String]}",1,0,0,65,1,4.0,0,4,0,38.05,2.0,0.01
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,continuedWords,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=continuedWords,return=void,parameters=[]}",1,0,0,26,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,eject,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=eject,return=void,parameters=[]}",1,0,0,24,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,exec,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=exec,return=void,parameters=[]}",1,0,0,26,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,skip,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=skip,return=void,parameters=[]}",1,0,0,24,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,title,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=title,return=void,parameters=[]}",1,0,0,24,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,arithmetic,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=arithmetic,return=void,parameters=[]}",1,0,0,23,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,commaDelimitedDisplayStatements,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=commaDelimitedDisplayStatements,return=void,parameters=[]}",1,0,0,17,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,environmentDivision,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=environmentDivision,return=void,parameters=[]}",1,0,0,31,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,inputOutputSection,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=inputOutputSection,return=void,parameters=[]}",1,0,0,33,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,procedureDivision,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=procedureDivision,return=void,parameters=[]}",1,0,0,17,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,divisionUsing,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=divisionUsing,return=void,parameters=[]}",1,0,0,14,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,ic109a,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=ic109a,return=void,parameters=[]}",1,0,0,55,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,moveStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=moveStatement,return=void,parameters=[]}",1,0,0,17,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,mergeStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=mergeStatement,return=void,parameters=[]}",1,0,0,17,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,multiplyStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=multiplyStatement,return=void,parameters=[]}",1,0,0,14,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,openStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=openStatement,return=void,parameters=[]}",1,0,0,16,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,performStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=performStatement,return=void,parameters=[]}",1,0,0,14,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,readStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=readStatement,return=void,parameters=[]}",1,0,0,14,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,receiveStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=receiveStatement,return=void,parameters=[]}",1,0,0,15,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,fileDescriptionEntryClauses,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=fileDescriptionEntryClauses,return=void,parameters=[]}",1,0,0,29,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,fileSection,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=fileSection,return=void,parameters=[]}",1,0,0,34,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,linkageSection,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=linkageSection,return=void,parameters=[]}",1,0,0,28,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,localStorageSection,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=localStorageSection,return=void,parameters=[]}",1,0,0,15,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,dataBaseSection,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=dataBaseSection,return=void,parameters=[]}",1,0,0,15,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,screenSection,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=screenSection,return=void,parameters=[]}",1,0,0,42,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,reverseVideo,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=reverseVideo,return=void,parameters=[]}",1,0,0,16,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,acceptStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=acceptStatement,return=void,parameters=[]}",1,0,0,18,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,alterStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=alterStatement,return=void,parameters=[]}",1,0,0,15,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,cancelStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=cancelStatement,return=void,parameters=[]}",1,0,0,17,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,closeStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=closeStatement,return=void,parameters=[]}",1,0,0,20,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,rewriteStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=rewriteStatement,return=void,parameters=[]}",1,0,0,15,0,2.0,0,2,0,11.61,1.0,0.0
src/test/java/org/openrewrite/cobol/tree/cobol/CobolParserAnsi85DivisionTest.java,org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest,callStatement,"org.openrewrite.cobol.tree.cobol.CobolParserAnsi85DivisionTest{name=callStatement,return=void,parameters=[]}",1,0,0,22,0,2.0,0,2,0,11.61,1.0,0.0
